Country Name,ISO_A3,1990,2000,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,23,45,19.1,17.7,20.2,19.5,18.3,18.9,18.2,20,20,..
Albania,ALB,25.5,41.4,38.6,38.5,39.4,36.9,37.8,40.1,44.4,41.9,..,..
Algeria,DZA,0.2,0.4,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,..,..
American Samoa,ASM,0,0,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,..
Andorra,AND,14.1,14.5,19.4,19,18.9,18,17.6,17.2,20.9,18.4,18.7,..
Angola,AGO,72.3,73.8,47.5,47.1,48.1,52.5,52.5,51,60.1,52.9,..,..
Antigua and Barbuda,ATG,0,0,0.1,0.4,0.4,0.4,0.7,0.7,0.9,0.9,0.9,..
Argentina,ARG,8.6,9.8,9.8,9.4,9.4,10.4,10.5,10.7,9.8,9.2,..,..
Armenia,ARM,2.1,7.2,7.1,10.7,13.2,12.6,11.1,10.3,8.4,9.1,..,..
Aruba,ABW,0.3,0.2,6.9,6.7,7,6.8,8.6,8.3,9.1,8.8,8.8,..
Australia,AUS,8,8.4,9.3,9.4,9.6,9.9,9.8,10.3,11.2,12.3,..,..
Austria,AUT,25.2,26.4,35.7,34.8,34.6,34,34.1,34,35.8,36,..,..
Azerbaijan,AZE,0.7,2.1,2.1,2.3,1.9,1.9,1.9,1.7,1.3,1.3,..,..
"Bahamas, The",BHS,0,0,1.4,1.4,1.2,1.1,1.1,1.1,1.4,1.1,1.1,..
Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,..,..
Bangladesh,BGD,71.7,60.2,35.4,33.1,30.2,28.1,27,26.1,27.2,25,..,..
Barbados,BRB,17.5,11.9,3,3,2.8,4.3,4.9,3.4,4.7,5.5,5.5,..
Belarus,BLR,0.9,5.7,6.7,6.8,6.7,7.3,7.2,7.8,8.4,8.2,..,..
Belgium,BEL,1.3,1.4,9.1,9.4,9.2,9.7,10.7,10.2,12.3,11.7,..,..
Belize,BLZ,38,34.5,37.4,30.3,33.3,37.2,35.5,30.4,31.4,26.6,30.8,..
Benin,BEN,93.7,70.3,51,49.9,45.4,45.4,44,46.5,46.2,54.5,..,..
Bermuda,BMU,0,0.5,0.4,0.6,1.1,0.6,0.7,0.8,0.9,0.9,0.9,..
Bhutan,BTN,95.9,91.4,82.1,81.6,80.8,79.7,80,81,83.9,81.8,82.5,..
Bolivia,BOL,37,29.2,15,14.2,13.6,14.3,14.3,13.5,16.9,12.8,..,..
Bosnia and Herzegovina,BIH,7.3,19.4,23.6,25.2,23,18.5,35.4,36.8,37.7,36.6,..,..
Botswana,BWA,49,38.5,25.8,26.1,26.7,26.7,25.6,26.2,27.7,27.4,..,..
Brazil,BRA,49.8,42.7,41.7,43.7,45.4,45.3,46.9,47.5,50,46.5,..,..
British Virgin Islands,VGB,1.3,0.9,1,1,1,1.1,1.2,1.2,1.3,1.3,1.3,..
Brunei Darussalam,BRN,0.7,0,0,0,0,0,0,0,0,0,..,..
Bulgaria,BGR,1.8,8,17.1,17.9,17.7,17.1,19.6,19.3,21.1,20.4,..,..
Burkina Faso,BFA,86.3,83.9,78.9,78.8,77.1,74.6,73.7,72.7,73.1,71.2,71.4,..
Burundi,BDI,94.6,93.2,91.3,91.2,89.6,88.2,85.7,84.8,83.4,83.1,83,..
Cabo Verde,CPV,21.1,27.9,26.1,26.4,23.9,21.8,21.9,19.7,23.4,22.6,21.8,..
Cambodia,KHM,..,81.6,63.7,60.6,58,56.3,58.1,53,51.4,52.4,..,..
Cameroon,CMR,81.6,84.6,76.9,78.1,78.8,79.2,78.7,78.9,78.9,79.2,..,..
Canada,CAN,22.6,20.3,22.2,22.3,22.1,22.8,22.3,22.4,23.9,23.8,..,..
Cayman Islands,CYM,0,0,0,0,0,0,0,0,0,0,0,..
Central African Republic,CAF,93.9,88.9,94.8,92.9,92.1,91.6,91.4,91.3,90.9,90.9,90.9,..
Chad,TCD,89.5,88.7,72.5,72.7,72.7,72.8,73.1,72.8,71.9,69.9,70,..
Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,34,31.4,27,25.1,24.6,24.1,25.5,25.3,26.7,24.2,..,..
China,CHN,33.9,29.6,11.9,12.2,12.6,13.1,13.5,14.3,14.9,15.2,..,..
Colombia,COL,38.1,27.9,32.1,31.1,30.5,32.2,30.4,31.5,32,29.7,..,..
Comoros,COM,74,69.9,68,67,64,59.5,57.7,55.3,50.8,41.2,39.3,..
"Congo, Dem. Rep.",COD,92,97.9,92.9,95.8,97,96.7,96.4,96.3,96.2,96.3,..,..
"Congo, Rep.",COG,65.4,64.9,62.1,64.2,67.7,69.8,70.6,69.8,71.4,71.4,..,..
Costa Rica,CRI,45.4,33,37.6,38.3,34.1,33.3,33.1,33.4,36.4,34.2,..,..
Cote d'Ivoire,CIV,73.6,63.7,71.9,64.5,64,62.5,60.5,61.1,61.8,58.2,..,..
Croatia,HRV,21.6,26.8,33.6,33.1,31.8,29.8,32.8,31.6,32.4,34.1,..,..
Cuba,CUB,42.9,34.4,23.2,21.1,19.2,22,24,23.1,24.5,20.9,..,..
Curacao,CUW,0,0.1,1.4,1.3,1.4,1.9,2.5,2.5,2.8,2.8,..,..
Cyprus,CYP,0.5,3.1,9.5,10.4,10.3,10.9,12,12,15,15.6,..,..
Czechia,CZE,3.6,5.9,14.8,14.8,14.8,14.5,14.7,15.9,17,17.2,..,..
Denmark,DNK,7,10.7,30.2,32.5,32,35,34.6,37.2,39.5,39.5,..,..
