Territorial emissions in MtCO₂,,,,,,,,,,,,,,,
,Brazil,Canada,China,EU27,India,Indonesia,Iran,Japan,Malaysia,Mexico,Russian Federation,Saudi Arabia,South Korea,Turkey,United States of America
1960,46.8518,192.7162,798.7999,2099.3709,111.3251,21.3852,37.3586,232.4996,4.2015,63.0523,884.5549,2.6744,12.5401,16.7985,2897.3153
1961,49.136,194.0007,570.6302,2198.9857,120.4043,26.0016,36.5088,282.7869,4.6849,65.2399,912.2216,3.5683,14.4487,17.3408,2886.8727
1962,53.6132,206.9908,459.6181,2353.8905,132.5815,22.9749,37.4284,292.8644,4.7765,63.7437,957.4302,6.25,17.2616,21.6045,2993.902
1963,55.523,210.9108,456.7794,2512.1898,142.4441,22.7631,41.3049,324.8355,5.828,66.2922,1026.8029,6.9388,21.0832,22.6399,3126.4875
1964,56.6263,237.5777,460.6371,2643.4003,139.4883,22.3743,47.5191,358.8911,7.3994,74.2001,1092.0318,7.0412,22.1952,26.303,3264.3138
1965,56.2792,251.917,500.2864,2676.2112,153.7019,24.6682,53.7184,386.4712,8.3802,75.1679,1158.4461,4.2163,24.9783,27.353,3399.5468
1966,64.1624,259.0744,549.4593,2757.7269,159.3734,23.375,64.1034,419.2451,9.8344,80.8446,1223.3773,6.4073,29.9822,31.5058,3571.4213
1967,66.0326,281.637,460.2259,2819.3347,159.5558,24.54,67.8809,489.3074,10.1276,90.0055,1279.2259,25.4855,35.1132,33.4791,3705.461
1968,77.2241,303.2613,495.5066,2992.5746,174.0693,27.5626,82.3296,561.9126,10.5302,93.8872,1315.1761,29.0791,37.1971,36.2655,3840.9196
1969,84.0884,307.1192,607.6834,3191.2181,177.4134,33.3622,83.0387,653.2154,9.1378,102.1762,1369.6697,35.271,42.4682,38.7527,4035.1453
1970,93.4882,341.1772,807.9526,3330.6823,181.7226,35.7914,91.7875,767.9631,14.5859,113.9507,1440.5322,45.2513,53.7164,42.5792,4339.686
1971,102.3371,352.2874,909.2097,3424.5516,191.9637,38.9553,101.6278,796.5443,16.6626,126.1868,1528.699,59.7567,58.5337,47.6382,4365.4653
1972,114.0188,380.7917,968.6456,3554.761,203.036,43.3063,106.0152,852.1702,17.9006,132.2713,1608.3855,70.2817,60.2471,53.7218,4573.0154
