Territorial emissions in MtCO₂,,,,,,,,
,China,EU27,India,Japan,Malaysia,Russian Federation,United Kingdom,United States of America
1960,798.7999,2099.3709,111.3251,232.4996,4.2015,884.5549,584.02,2897.3153
1961,570.6302,2198.9857,120.4043,282.7869,4.6849,912.2216,588.6148,2886.8727
1962,459.6181,2353.8905,132.5815,292.8644,4.7765,957.4302,592.9315,2993.902
1963,456.7794,2512.1898,142.4441,324.8355,5.828,1026.8029,603.3857,3126.4875
1964,460.6371,2643.4003,139.4883,358.8911,7.3994,1092.0318,607.866,3264.3138
1965,500.2864,2676.2112,153.7019,386.4712,8.3802,1158.4461,622.1116,3399.5468
1966,549.4593,2757.7269,159.3734,419.2451,9.8344,1223.3773,618.0747,3571.4213
1967,460.2259,2819.3347,159.5558,489.3074,10.1276,1279.2259,592.057,3705.461
1968,495.5066,2992.5746,174.0693,561.9126,10.5302,1315.1761,606.4883,3840.9196
1969,607.6834,3191.2181,177.4134,653.2154,9.1378,1369.6697,628.3825,4035.1453
1970,807.9526,3330.6823,181.7226,767.9631,14.5859,1440.5322,652.5774,4339.686
1971,909.2097,3424.5516,191.9637,796.5443,16.6626,1528.699,660.3882,4365.4653
1972,968.6456,3554.761,203.036,852.1702,17.9006,1608.3855,648.0263,4573.0154
1973,1008.2926,3727.9233,209.095,914.2652,17.5051,1676.3117,659.5771,4785.103
1974,1028.0999,3708.6784,215.8532,914.3062,19.0447,1740.1442,617.1836,4621.0998
1975,1183.215,3635.9884,234.2091,868.5108,19.4452,1829.1441,603.247,4478.2749
1976,1226.4213,3911.7103,244.7494,907.1445,23.8976,1899.5913,598.526,4747.8174
1977,1340.8311,3873.171,258.9617,933.2377,22.6208,1964.2036,604.3617,4889.6653
1978,1492.7778,4003.6643,263.1496,901.5901,23.2604,2031.6598,604.7135,4941.4227
1979,1525.6611,4113.1355,276.2847,953.0713,27.3059,2048.51,644.5128,5008.6418
1980,1494.4959,4077.5007,291.7111,944.8686,28.0326,2129.1103,579.0354,4808.5564
1981,1476.4879,3863.3812,314.9662,926.8355,30.8777,2088.5706,560.5545,4686.4202
1982,1606.585,3771.411,325.38,897.4078,30.6419,2127.9467,548.2404,4447.2979
1983,1694.2168,3728.4859,352.1988,880.9094,38.0483,2158.129,545.4851,4429.4231
1984,1844.828,3763.5937,361.5594,937.0699,34.7944,2177.2928,529.1082,4662.1745
1985,1998.0829,3820.5809,397.5921,912.4008,36.3298,2348.1415,559.6273,4652.633
1986,2104.2134,3805.261,426.3094,912.2599,40.1019,2348.7267,568.554,4663.4296
1987,2257.7385,3839.6359,455.3431,902.5303,40.8777,2358.1496,571.6676,4825.7117
1988,2425.8936,3797.8931,491.6922,985.4643,42.8692,2436.0941,570.2937,5050.5434
1989,2463.6544,3835.0371,540.651,1021.6817,50.0839,2404.9739,581.5761,5132.2063
1990,2484.8548,3870.4273,577.996,1157.1956,54.2694,2536.2477,601.9451,5120.9572
1991,2606.0962,3804.5575,615.365,1168.8973,65.7851,2406.7557,609.4127,5062.9567
1992,2730.7876,3678.6234,655.447,1178.6748,72.961,1966.5048,593.8459,5174.2275
1993,2921.651,3609.8379,677.2992,1171.6867,86.7186,1866.7291,579.6125,5272.8508
1994,3103.7387,3590.7623,714.0637,1226.7022,88.036,1647.6646,574.0169,5364.2793
1995,3361.6372,3637.058,760.4616,1239.0481,110.841,1619.7271,566.159,5425.2597
1996,3508.8181,3721.9121,823.6206,1251.5457,110.6328,1586.8221,586.7607,5612.9828
1997,3515.5942,3655.5349,858.0112,1244.251,119.6288,1482.2445,562.7081,5688.1425
1998,3364.5876,3645.8324,875.7723,1204.4025,109.7817,1465.2535,568.5437,5733.2806
1999,3557.2746,3590.3608,950.4598,1241.0365,103.9865,1494.1788,561.6496,5803.9178
2000,3649.2009,3601.5088,977.5264,1263.7548,122.8781,1479.1425,569.0337,6010.1359
2001,3728.5135,3658.2652,990.9695,1249.1621,130.89,1515.6471,577.9706,5907.7399
2002,4103.0427,3658.9049,1021.6644,1278.7871,132.0352,1506.7879,560.2732,5946.3081
2003,4841.1187,3743.0828,1059.1595,1287.2925,153.3843,1537.0183,571.6188,6010.1455
2004,5217.3509,3753.9955,1125.0963,1282.6859,169.6783,1543.9571,573.4298,6112.6546
2005,5882.1429,3734.8554,1185.6742,1290.1446,169.9673,1562.5769,570.3384,6132.1833
2006,6494.3381,3744.5274,1292.4846,1267.1184,170.1664,1623.0019,567.8457,6052.6862
2007,6983.5767,3708.2448,1392.506,1302.8368,175.4508,1623.7813,559.5665,6130.1228
2008,7501.4978,3624.3587,1489.4375,1232.0142,192.8471,1652.0645,544.9324,5915.1185
2009,7891.0893,3330.5235,1612.2163,1163.0572,192.1191,1545.0344,494.1077,5480.7257
2010,8620.6268,3431.4449,1677.3372,1214.7075,199.3461,1632.7832,511.9046,5679.7152
2011,9532.4091,3330.9133,1764.7124,1264.6312,203.4523,1685.9096,469.7133,5546.1161
2012,9779.3544,3258.4293,1925.6997,1305.8836,212.99,1701.2683,487.4768,5344.086
2013,9956.3762,3178.5251,1995.0981,1315.192,241.6711,1640.4374,477.6113,5480.1565
2014,9998.674,3041.5813,2148.3437,1264.0719,245.0497,1639.9591,438.8071,5528.6811
2015,9866.9514,3092.7619,2234.2195,1223.1687,235.5057,1638.6753,422.4608,5376.4731
2016,9765.0295,3097.9963,2354.658,1202.4546,236.8174,1634.885,399.4301,5252.9322
2017,10011.1517,3119.7821,2426.6069,1186.8023,244.1056,1666.1212,387.3671,5212.1623
2018,10353.9345,3046.2395,2593.0579,1141.6689,262.2072,1712.4944,379.7298,5377.7974
2019,10721.042,2904.162,2612.888,1104.5398,267.4943,1705.0309,364.7533,5262.1451
2020,10914.0122,2629.9706,2421.5523,1039.7959,269.2487,1632.9293,326.2632,4714.628
2021,11336.2339,2805.7617,2674.2219,1062.1292,278.8612,1711.9933,347.4651,5032.2128
2022,11396.7774,2761.9071,2829.6442,1053.7979,291.0714,1652.1773,318.6544,5057.3038
,,,,,,,,
SOURCES,,,,,,,,
Territorial,"<b>For sources and methods, see Andrew and Peters (2023), Friedlingstein et al. (2023), and Peters et al. (2011)..</b><br /><br /><br />Friedlingstein, P., O'Sullivan, M., Jones, M. W., Andrew, R. M., Bakker, D. C. E., Hauck, J., Landschützer, P., Le Quéré, C., Luijkx, I. T., Peters, G. P., Peters, W., Pongratz, J., Schwingshackl, C., Sitch, S., Canadell, J. G., Ciais, P., Jackson, R. B., Alin, S. R., Anthoni, P., Barbero, L., Bates, N. R., Becker, M., Bellouin, N., Decharme, B., Bopp, L., Brasika, I. B. M., Cadule, P., Chamberlain, M. A., Chandra, N., Chau, T.-T.-T., Chevallier, F., Chini, L. P., Cronin, M., Dou, X., Enyo, K., Evans, W., Falk, S., Feely, R. A., Feng, L., Ford, D. J., Gasser, T., Ghattas, J., Gkritzalis, T., Grassi, G., Gregor, L., Gruber, N., Gürses, Ö., Harris, I., Hefner, M., Heinke, J., Houghton, R. A., Hurtt, G. C., Iida, Y., Ilyina, T., Jacobson, A. R., Jain, A., Jarníková, T., Jersild, A., Jiang, F., Jin, Z., Joos, F., Kato, E., Keeling, R. F., Kennedy, D., Klein Goldewijk, K., Knauer, J., Korsbakken, J. I., Körtzinger, A., Lan, X., Lefèvre, N., Li, H., Liu, J., Liu, Z., Ma, L., Marland, G., Mayot, N., McGuire, P. C., McKinley, G. A., Meyer, G., Morgan, E. J., Munro, D. R., Nakaoka, S.-I., Niwa, Y., O'Brien, K. M., Olsen, A., Omar, A. M., Ono, T., Paulsen, M. E., Pierrot, D., Pocock, K., Poulter, B., Powis, C. M., Rehder, G., Resplandy, L., Robertson, E., Rödenbeck, C., Rosan, T. M., Schwinger, J., Séférian, R., Smallman, T. L., Smith, S. M., Sospedra-Alfonso, R., Sun, Q., Sutton, A. J., Sweeney, C., Takao, S., Tans, P. P., Tian, H., Tilbrook, B., Tsujino, H., Tubiello, F., van der Werf, G. R., van Ooijen, E., Wanninkhof, R., Watanabe, M., Wimart-Rousseau, C., Yang, D., Yang, X., Yuan, W., Yue, X., Zaehle, S., Zeng, J., and Zheng, B.: Global Carbon Budget 2023, Earth Syst. Sci. Data Discuss. Available at: <a href=""https://doi.org/10.5194/essd-2023-409"" target=""_blank""> https://doi.org/10.5194/essd-2023-409</a><br /><br />Andrew, R.M. and Peters, G.P. (2023): The Global Carbon Project's fossil CO<sub>2</sub> emissions dataset. Available at: <a href=""https://zenodo.org/doi/10.5281/zenodo.5569234"" target=""_blank"">Andrew and Peters, 2023.</a><br /><br />Peters, G.P., Minx, J.C., Weber, C.L., and O. Edenhofer (2011), Growth in emission transfers via international trade from 1990 to 2008. Proceedings of the National Academy of Sciences (PNAS), 108(21), 8903-8908, Available at: <a href=""https://doi.org/10.1073/pnas.1006388108"" target=""_blank"">Peters et al., 2011.</a><br /><br />The use of data is conditional on citing the original data sources. <br /><br />Data for years 2021 and 2022 are preliminary.<br /><br />",,,,,,,
